meadowID,area_ha
17134,1.63065
17135,1.89991
17136,2.05614
17138,2.18807
17139,0.81882
17140,1.28758
17141,3.2118
17142,2.06007
17143,1.23794
17144,2.3079
17145,1.65654
17147,1.30045
17148,1.4146
17149,1.62979
17150,0.779
17151,2.19096
17152,0.79785
17153,1.50488
17154,1.857
17155,2.85757
17156,4.72798
17157,1.4432
17158,2.57101
17159,2.42886
17160,1.39651
17161,2.14484
17162,1.32787
24001,1.76818
24002,1.55547
24003,1.82318
24004,1.77239
24005,1.9735
24006,1.69184
24007,2.19629
24008,1.44114
24009,2.33669
24010,1.23109
24011,2.55644
24012,2.40248
24013,1.38766
24014,0.86571
24015,0.55698
24016,1.56945
24017,1.74349
24018,1.7072
24019,1.83227
24020,1.59971
24021,1.78108
24022,1.47859
24023,1.58286
24024,1.11057
24025,5.31519
24026,2.34942
24027,1.09908
24028,1.41272
24029,0.75871
24030,1.17816
24031,1.91063
24032,1.35122
24033,1.76254
24034,2.33566
24035,2.15108
24036,1.67735
24037,1.74377
24038,2.14446
24039,2.35925
24040,1.66066
24041,1.72885
24042,1.75632
24043,2.45245
24044,1.71158
24045,1.72769
24046,1.78967
24047,1.21555
24048,1.11685
24049,1.70592
24050,1.6933
24051,1.07561
24052,1.5239
24053,1.96693
24054,1.36373
24055,1.64727
24056,1.89957
24057,1.11441
24058,0.78158
24059,1.47085
24060,2.19453
24061,1.75857
24062,1.90722
24063,2.04958
24064,1.25395
24065,1.44006
24066,1.68477
24067,1.87275
24069,1.15967
24070,1.31577
24071,1.62661
24072,3.67915
24073,1.22902
24074,1.672
24075,1.63939
24076,2.96476
24077,1.40735
24078,1.18507
24079,1.77404
24080,2.70382
24081,1.3216
24082,1.72245
24083,1.56063
24084,2.86336
24085,1.73343
24086,1.68824
24087,1.64247
24088,1.19477
24089,1.63187
24090,3.47412
24091,1.23557
24092,1.36535
24093,2.02641
24094,2.31298
24095,0.83605
24096,2.62427
24097,2.6098
24098,0.80906
25001,3.37071
25002,4.12421
25003,2.9326
25004,2.56568
25005,4.96946
25007,1.88966
25008,3.29006
25009,2.4115
25010,2.36073
25011,1.70424
25012,2.39936
25013,1.98188
25014,2.02095
25015,1.89312
25016,0.93003
25017,1.39813
25018,2.44158
25019,3.44266
25020,3.10516
25021,3.80641
25022,2.94918
25023,2.27539
25024,1.98865
25025,3.17434
25026,4.27184
25027,3.02688
25028,2.18005
25029,1.4247
25030,23.62048
25031,5.06296
25032,5.75858
25033,4.37255
25034,4.38506
25035,5.49154
25036,2.08779
25037,3.3255
25038,2.1235
25039,1.03744
25040,0.66157
25041,0.66427
25042,0.52844
25043,6.55546
25044,14.54692
25045,9.01636
25046,7.92888
25048,2.27914
25049,3.92409
25050,1.46926
25051,1.88342
25052,1.29834
25053,1.40177
25054,2.09436
25055,2.54535
25056,3.4591
25057,4.66871
25063,3.68597
25064,2.63034
25065,0.77114
25066,4.53144
25067,4.39556
25068,4.5534
25069,3.38431
25070,6.9538
25071,1.00982
25072,3.57239
25073,2.98225
25074,3.4461
25075,5.38261
25076,0.53748
25077,0.8547
25078,0.80536
25079,0.92014
25080,6.43647
25081,6.49463
25082,4.04468
25083,7.7762
25084,4.33138
25085,4.10848
25086,6.94982
25087,4.45748
25088,3.74846
25089,3.40686
25090,1.15201
25091,1.07862
25092,2.79928
25093,2.4172
25094,1.49268
25095,1.57015
25096,1.60854
25097,0.84016
25098,4.69298
25099,6.79853
25100,8.97682
25101,5.86478
25102,1.3932
25103,4.96696
25104,6.65835
25105,3.21824
25106,3.25911
25107,2.29631
25108,1.76051
25109,2.57825
25111,4.87531
25112,4.25555
25113,4.3186
25114,5.49868
25115,3.62672
25116,3.56512
25119,3.91379
25120,0.85291
25122,4.96528
25123,8.04058
25124,5.12909
25125,3.42373
25127,1.99201
25128,0.80829
25129,1.69572
25130,0.56781
25131,4.88002
25132,1.55254
25133,3.68341
25134,2.22809
25135,2.45582
25136,0.97335
25137,2.21189
25138,1.53607
25139,2.82084
25140,6.36607
25141,3.89997
49001,2.42112
49002,0.85501
66001,3.87883
66002,0.65221
66003,2.19682
66004,5.55458
66005,2.03985
66006,2.3947
66007,2.01372
66008,1.18049
66009,1.98114
66010,2.27226
66011,3.34689
66012,2.20209
66013,1.30357
66015,2.99818
66016,0.90433
66017,0.76034
66018,1.51167
66019,3.78452
66020,1.57286
66021,1.55982
66022,1.61714
66023,1.29088
66025,2.42611
66026,0.81146
66027,1.34719
66028,2.27331
66029,3.04555
66030,4.02351
66031,2.70237
66036,1.88401
66037,3.94579
66038,1.28824
66039,4.12172
66040,5.06515
66041,2.59096
66042,3.12198
66043,4.90357
66044,2.22518
66045,1.26013
66046,1.50795
66047,6.59773
66048,2.41003
66049,0.72559
66050,1.7677
66051,1.19996
69002,1.44316
69003,4.25277
69005,3.99781
69006,3.95024
69007,4.64492
69008,0.96323
69009,2.3072
69010,2.66475
69011,4.39007
69012,3.37678
69013,4.37058
69014,4.17169
69015,3.9841
69016,3.72421
69017,2.43986
69018,3.04932
69019,1.90301
69020,2.03518
69021,1.85211
69022,2.10775
69023,1.79906
69024,2.12083
69025,3.91522
69026,1.84421
69027,2.00536
69028,2.05524
69029,1.96217
69030,2.11103
69031,1.99021
69032,3.72721
69033,3.46297
69034,2.50795
69035,2.11534
69036,3.40637
69037,1.33675
69038,5.69041
69039,2.811
69040,1.12696
69041,1.04371
69042,1.88328
69043,2.9459
69044,4.01261
69046,1.84273
69047,2.20511
69048,1.53563
69049,5.05844
69050,10.1961
69051,2.77473
69052,10.78562
69053,5.60491
69054,1.35554
69055,9.47982
69056,13.4192
69057,2.58557
69058,6.55148
70001,1.10838
70002,0.98582
70003,1.38987
70004,2.4435
70007,2.50387
70008,2.76727
70009,2.54855
70010,2.49734
70011,2.41478
70012,2.50831
70013,1.27724
70014,0.88996
70015,1.074
70016,1.40463
70017,4.64238
70018,4.7013
70019,4.38524
70020,3.59363
70022,4.10748
70023,4.94849
70024,4.92494
70025,2.19734
70026,1.8199
70027,5.28694
70028,4.86621
70029,3.76315
70030,3.50901
70031,2.57217
70032,2.86819
70033,5.16548
70034,4.54434
70035,7.74482
70036,2.94558
70037,1.9033
70038,1.93359
70039,1.44452
70040,0.98722
70041,4.143
70043,3.42681
70044,4.96798
70045,1.92222
70046,2.21807
70047,3.84518
70048,4.2139
70049,4.33368
70050,0.3311
70051,0.96459
70052,1.76848
70053,3.3782
70054,2.11601
70055,1.90554
70056,4.08114
70057,1.3685
70058,1.5496
70059,1.08926
70060,1.93241
70061,1.97886
70062,1.82479
70063,0.98825
70064,1.00301
70065,1.5239
79001,2.80064
79003,6.53241
79005,0.93805
79007,1.73071
79009,2.16704
79010,0.95942
79011,1.662
79012,3.415
79013,4.37647
79014,4.31804
79015,2.67466
79016,3.02942
79017,3.74947
79018,3.97859
