polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean
129014_02,129014,718.32763671875,0.7348645925521851,-0.6644353866577148,0.5146552920341492,0.5802546143531799,0.5797060132026672,0.23855352401733398,-0.4958038926124573,high,71.5,6.866666667,5.886666667,5
129088_02,129088,719.268310546875,0.8069535493850708,-0.7105305194854736,0.6250649094581604,0.7413218021392822,0.5496923923492432,0.32718366384506226,-0.49196475744247437,high,30.68888889,11.5,3.58,5
129088_01,129088,717.56060791015625,0.7067061066627502,-0.621228814125061,0.4133721590042114,0.45782768726348877,0.5766011476516724,0.34979650378227234,-0.33635759353637695,high,84.42222222,6.333333333,6.44,1.6666666666666667
575023_01,575023,719.18731689453125,0.674651563167572,-0.6354026198387146,0.46129199862480164,0.5134602189064026,0.5548422336578369,0.27554377913475037,-0.4243033528327942,high,70.81111111,10.33333333,7.293333333,3.6666666666666665
575023_02,575023,719.34588623046875,0.7054218649864197,-0.6532124876976013,0.5254936218261719,0.5950177907943726,0.5405793786048889,0.2871415913105011,-0.4409855902194977,high,62.76666667,13.66666667,4.58,4.666666666666667
575019_01,575019,721.92095947265625,0.8632122874259949,-0.7633435130119324,0.6677828431129456,0.7940168380737305,0.4630754590034485,0.37952128052711487,-0.5413524508476257,high,36.97777778,20.66666667,8.773333333,3.3333333333333335
575019_02,575019,721.17523193359375,0.8286752104759216,-0.7366339564323425,0.6402759552001953,0.7492989897727966,0.49959734082221985,0.3237279951572418,-0.5424426794052124,high,41.32222222,19.33333333,6.226666667,4
79024_01,79024,719.33782958984375,0.7732329964637756,-0.6911922693252563,0.6046645641326904,0.7028019428253174,0.5426977276802063,0.2849390208721161,-0.5059443712234497,high,31.44444444,13.73333333,3.966666667,5.333333333333333
79024_02,79024,718.02093505859375,0.7242774367332458,-0.6571091413497925,0.5341488122940063,0.6039189696311951,0.5536930561065674,0.31312480568885803,-0.46150174736976624,high,68.51111111,8.666666667,3.653333333,6.333333333333333
79020_01,79020,719.67626953125,0.786862850189209,-0.701105535030365,0.5945160388946533,0.6855884790420532,0.5572988986968994,0.27512383460998535,-0.5169470906257629,high,32.91111111,15.93333333,4.353333333,4
79020_02,79020,719.524169921875,0.7752777338027954,-0.6893391013145447,0.5990424752235413,0.6892685890197754,0.564113438129425,0.2783394157886505,-0.5168264508247375,high,29.78888889,13.96666667,5.42,4.666666666666667
564029_01,564029,721.94671630859375,0.8782820105552673,-0.7669936418533325,0.68997722864151,0.8281468749046326,0.4231932461261749,0.4322030246257782,-0.5295321345329285,low,14.08888889,46.33333333,7.513333333,4.333333333333333
564029_02,564029,721.87841796875,0.8738595247268677,-0.7622418999671936,0.6945047378540039,0.8358486294746399,0.42946699261665344,0.4334704279899597,-0.5249661207199097,low,14.64444444,42.33333333,6.9,5.333333333333333
114090_01,114090,724.19378662109375,0.9148135185241699,-0.8214380741119385,0.7339579463005066,0.871472179889679,0.39145827293395996,0.48232924938201904,-0.553977370262146,low,19.48888889,42.73333333,13.90666667,1.6666666666666667
114090_02,114090,724.6695556640625,0.9179725050926208,-0.8259385228157043,0.7325958609580994,0.8699960112571716,0.3683236837387085,0.4863409101963043,-0.5576483607292175,low,15.4,53.66666667,20.33333333,3
114091_01,114091,724.57623291015625,0.9273383021354675,-0.8374040722846985,0.7444791197776794,0.8780423402786255,0.37729310989379883,0.48818373680114746,-0.5729495882987976,low,12.83333333,47,16.95333333,3
114091_02,114091,723.7850341796875,0.9254539012908936,-0.8356730937957764,0.7455635070800781,0.8936724066734314,0.4065636098384857,0.4784284830093384,-0.5817397832870483,low,16.66666667,46.86666667,15.36,2
583045_01,583045,723.70751953125,0.8894650936126709,-0.7955347895622253,0.6748636960983276,0.7889788150787354,0.401547372341156,0.43258270621299744,-0.5422475934028625,low,22.71666667,35.55,16.685,1.5
583045_02,583045,723.58172607421875,0.8898115754127502,-0.7954322695732117,0.67533940076828,0.7938336730003357,0.3970682919025421,0.42862504720687866,-0.5393890142440796,low,22.075,42.4,14.5,2.5
100028_01,100028,719.88824462890625,0.7795653343200684,-0.7134618163108826,0.6238566040992737,0.7310932874679565,0.5283340215682983,0.3331078588962555,-0.5000702142715454,high,39.28888889,10.3,12.23333333,6.666666666666667
100028_02,100028,719.87054443359375,0.7862937450408936,-0.720884382724762,0.6152675747871399,0.7071748971939087,0.5392363667488098,0.31064340472221375,-0.4997347593307495,high,37.47777778,11.43333333,14.12666667,5.666666666666667
16086_01,16086,721.21209716796875,0.8493428230285645,-0.7458819150924683,0.6813322901725769,0.8185927867889404,0.4632592797279358,0.35299941897392273,-0.5348893404006958,moderate,17.87777778,23.8,8.313333333,2.3333333333333335
16082_01,16082,721.91497802734375,0.8720982670783997,-0.7636571526527405,0.7207223773002625,0.859647274017334,0.4487694501876831,0.38125988841056824,-0.5446529984474182,low,17.7,25.35,4.78,2.25
16082_02,16082,720.3345947265625,0.8535725474357605,-0.7324724197387695,0.6835557222366333,0.8092588782310486,0.4519020617008209,0.36224398016929626,-0.514397382736206,moderate,16.96666667,23.93333333,7.446666667,3
16082_03,16082,719.81573486328125,0.8377508521080017,-0.7186856269836426,0.6600528955459595,0.777873158454895,0.4901430010795593,0.34377244114875793,-0.5155349373817444,moderate,22.98888889,23.66666667,5.133333333,3
128006_01,128006,725.42938232421875,0.9314812421798706,-0.8367522358894348,0.7525341510772705,0.899174153804779,0.34688904881477356,0.5248068571090698,-0.5627925992012024,low,19.1,39.8,21.66666667,3.3333333333333335
128006_02,128006,725.5867919921875,0.9369473457336426,-0.8406932353973389,0.771903395652771,0.9159467220306396,0.3344927728176117,0.5430107116699219,-0.5520426630973816,low,17.4,46.33333333,20.44,4
129021_01,129021,719.92626953125,0.7638942003250122,-0.6968808174133301,0.5382564067840576,0.6068459749221802,0.5687056183815002,0.280771404504776,-0.49685198068618774,high,30.07777778,14.73333333,7.693333333,7.333333333333333
129021_02,129021,718.98590087890625,0.7168008089065552,-0.6772956848144531,0.5069998502731323,0.5631418824195862,0.6243685483932495,0.22528612613677979,-0.5160381197929382,high,43.34444444,14.13333333,7.54,7.666666666666667
69045_01,69045,719.35540771484375,0.7694176435470581,-0.7078618407249451,0.5359997749328613,0.5965501666069031,0.5873174071311951,0.25279489159584045,-0.5368342995643616,high,37.61111111,11.13333333,10.87333333,8.333333333333334
69004_01,69004,718.61627197265625,0.6608744263648987,-0.6586000323295593,0.4183376729488373,0.4418017864227295,0.7254289388656616,0.16555580496788025,-0.5449808239936829,high,72.85555556,6.433333333,10.78666667,5.666666666666667
69004_02,69004,717.45501708984375,0.650777280330658,-0.6458759903907776,0.3557278513908386,0.36416640877723694,0.7245139479637146,0.17151038348674774,-0.5240785479545593,high,85.51111111,6.7,13.04,6
149006_01,149006,725.09918212890625,0.9047127962112427,-0.8155248761177063,0.7172300219535828,0.8576228022575378,0.36135733127593994,0.4806429445743561,-0.5606119632720947,low,32.83333333,19.6,30.01333333,3.3333333333333335
149006_02,149006,724.51885986328125,0.8737010359764099,-0.7893093228340149,0.684956967830658,0.8133419156074524,0.3865010142326355,0.44528231024742126,-0.5572013854980469,low,32.5,18,22.92666667,4
66024_01,66024,720.440673828125,0.7423108816146851,-0.7067297101020813,0.5121146440505981,0.547552227973938,0.560030996799469,0.27509385347366333,-0.5392445921897888,high,70.93333333,8.533333333,20.2,7.333333333333333
66014_01,66014,719.37347412109375,0.7636908292770386,-0.6890360713005066,0.5207821130752563,0.5796926021575928,0.5816627740859985,0.2671872675418854,-0.5032947659492493,high,68.12222222,9.6,11.14666667,7
66014_02,66014,719.71075439453125,0.8159157037734985,-0.7204940915107727,0.5804423093795776,0.646666944026947,0.5666186213493347,0.29584673047065735,-0.5296028852462769,high,55.21111111,6.666666667,12.81333333,7
24068_01,24068,719.31707763671875,0.7286698818206787,-0.6873626112937927,0.5209312438964844,0.5741198062896729,0.5734089612960815,0.24373938143253326,-0.5301628112792969,high,72.54444444,5.866666667,21.14,8
24068_02,24068,719.35186767578125,0.7237171530723572,-0.6789396405220032,0.5066741704940796,0.5548294186592102,0.5788844227790833,0.23855283856391907,-0.5238668918609619,high,53.44444444,5.766666667,19.7,7.666666666666667
114049_01,114049,723.71795654296875,0.8899801969528198,-0.8027467131614685,0.7230421304702759,0.8678097128868103,0.4411659240722656,0.4319794476032257,-0.5628858208656311,moderate,26.43333333,35.93333333,11.91333333,3.6666666666666665
114049_02,114049,723.57708740234375,0.8850515484809875,-0.8008818030357361,0.7011552453041077,0.8282065987586975,0.45319798588752747,0.4057236313819885,-0.5780304670333862,moderate,23.82222222,32.4,11.4,2.6666666666666665
5042_01,5042,715.88604736328125,0.648905336856842,-0.6045544147491455,0.4508179724216461,0.512812614440918,0.8134153485298157,0.09884686022996902,-0.5356491804122925,high,38.07333333,12.52,2.356,3.2
564005_01,564005,721.059326171875,0.7979539036750793,-0.7176417708396912,0.6173809766769409,0.7352542877197266,0.5351843237876892,0.30868688225746155,-0.5427929162979126,moderate,20.5,32.13333333,9.586666667,2.3333333333333335
