polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean,soil_resistance_std,soil_moisture_std,plant_richness_std,vegetation_height_std,habitat_class_knn_all_field,habitat_class_rbc_soil_richness
162027_02,162027,724.8856201171875,0.9062572121620178,-0.8217151761054993,0.7153645157814026,0.8499785661697388,0.41244152188301086,0.4436259865760803,-0.5951294302940369,moderate,15.54444444,42.6,11.29333333,3,0.7689631175510044,0.037303164637293884,0.2727272727272727,0.3231451573209209,moderate,low
130005_01,130005,726.38726806640625,0.9405975937843324,-0.8501752018928528,0.7636157870292664,0.924347996711731,0.3374814987182617,0.5314109921455383,-0.5792691707611084,low,19.80833333,33.85,22.625,1.75,0.586290883741986,0.09597156397810819,0.10227272727272727,0.73286168836871,low,low
162028_01,162028,724.60015869140625,0.895149290561676,-0.8095034956932068,0.7076914310455322,0.8410090208053589,0.42389512062072754,0.4248620271682739,-0.5712796449661255,moderate,18.56666667,44.93333333,9.233333333,4.333333333333333,0.81767571316382,0.07888702042259939,0.4545454545454545,0.24866219931406522,low,moderate
162028_02,162028,722.10107421875,0.8544068932533264,-0.7612042427062988,0.6332215666770935,0.7305242419242859,0.4513707160949707,0.387367308139801,-0.523781955242157,high,25.1,27,14.15333333,4.333333333333333,0.44328462070292585,0.1687815319165638,0.4545454545454545,0.42655353606355806,moderate,moderate
129014_01,129014,717.76263427734375,0.703829288482666,-0.6516959071159363,0.4553644359111786,0.4882757067680359,0.6267870664596558,0.21579505503177643,-0.49406975507736206,high,67.05555556,8.133333333,9.74,4,0.04940848989252138,0.7460632931586588,0.40909090909090906,0.2669816323900812,high,high
129014_02,129014,718.32763671875,0.7348645925521851,-0.6644353866577148,0.5146552920341492,0.5802546143531799,0.5797060132026672,0.238553524017334,-0.4958038926124573,high,71.5,6.866666667,5.886666667,5,0.022964509393133742,0.8072160220361652,0.5454545454545454,0.12765752304725178,high,high
129088_02,129088,719.268310546875,0.8069535493850708,-0.7105305194854736,0.6250649094581604,0.7413218021392822,0.5496923923492432,0.32718366384506226,-0.4919647574424744,high,30.68888889,11.5,3.58,5,0.1196938065269503,0.24568108857221582,0.5454545454545454,0.044255893559785944,high,high
129088_01,129088,717.56060791015625,0.7067061066627502,-0.621228814125061,0.4133721590042114,0.4578276872634888,0.5766011476516724,0.34979650378227234,-0.33635759353637695,high,84.42222222,6.333333333,6.44,1.6666666666666667,0.011830201794666161,0.9850175813947403,0.09090909090909091,0.14766427230242304,high,moderate
575023_01,575023,719.18731689453125,0.674651563167572,-0.6354026198387146,0.4612919986248016,0.5134602189064026,0.5548422336578369,0.27554377913475037,-0.4243033528327942,high,70.81111111,10.33333333,7.293333333,3.6666666666666665,0.09533750861615842,0.7977373490353848,0.3636363636363636,0.1785180542928359,high,moderate
575023_02,575023,719.34588623046875,0.7054218649864197,-0.6532124876976013,0.5254936218261719,0.5950177907943726,0.5405793786048889,0.2871415913105011,-0.4409855902194977,high,62.76666667,13.66666667,4.58,4.666666666666667,0.16492693115877285,0.6870509097175646,0.5,0.08041266934392478,high,high
